season,episode_number,episode_name,air_date,overview,runtime,guest_stars,crew,cast,image
4,6,Kung Fu Fighting,2007-11-01,A patient comes to the ER with a dream and a condition which may prevent him form realizing it. Two patients are competing to win something big. One of them convinces an intern to take their place.,43,"Amanda Loncar, Steve Sandvoss, Tommy Dewey, David Denman, Cullen Douglas","Tom Verica (Director), Stacy McKee (Writer)",,/o7k9TZ5XXDElRGsUO1Sak5h3SCE.jpg
4,7,"Physical Attraction, Chemical Reaction",2007-11-08,"Izzie and George's new-founded relationship results in them having bad sex. Callie's Chief Resident position is taken away from her, and Bailey is the humble replacement. Meredith can barely handle it with Lexie anymore.",43,"Jeff Perry, David Burke, Mark Saul, Stephanie March, Vicki Lewis, Rockmond Dunbar, Enuka Okuma, Kurt Fuller","Jeff Melman (Director), Joan Rater (Writer)",,/fgA7YDezn45BLG3QVEvzgw9qMOY.jpg
4,8,Forever Young,2007-11-15,There has been a bus crash and the patients are in the ER. Meredith and Derek's relationship gets more complicated when he dates a fellow doctor. Meredith's dad goes to visit her at the hospital.,43,"Jeff Perry, Brooke Nevin, D.B. Woodside, Madeline Zima, Kali Rocha, Lauren Stamile","Mark Wilding (Writer), Tom Verica (Director), Rob Corn (Director)",,/uBtp4bycyEKbI96WevqtbPiS6Q7.jpg
4,9,Crash Into Me (1),2007-11-22,"An ambulance crash endangers the lives of the paramedics involved, as Meredith and the Chief work on-site to save them, Bailey treats a patient who refuses her help, and Ava returns for Alex and meets his other girlfriend in the process.",43,"Theo Rossi, Lauren Stamile, Alison La Placa, John Billingsley, Seth Green, Gale Harold","Michael Grossman (Director), Krista Vernoff (Writer), Shonda Rhimes (Writer)",,/1NnHuzhd6k7Lkd0l1QN6ZU15Tb.jpg
4,10,Crash Into Me (2),2007-12-06,Meredith works furiously to save a paramedic trapped in an ambulance; Lexie holds the life of a patient in her hands; Derek must rely on a nurse to save a patient; Bailey struggles to balance her personal life with her work.,43,"Theo Rossi, Lauren Stamile, Elizabeth Reaser, Seth Green, Gale Harold","Jessica Yu (Director), Krista Vernoff (Writer), Shonda Rhimes (Writer)",,/ysTbyy8tWyupssx69F4a9ZcHA0t.jpg
4,11,Lay Your Hands on Me,2008-01-10,George has a surprise visitor. Bailey's family is falling apart. Derek sorts through what kissing Rose means. Meredith discovers something that doesn't inspire hope or happiness in her. Alex treats a faith healer.,43,"Debra Monk, Lauren Stamile, Glenne Headly","John Terlesky (Director), Allan Heinberg (Writer)",,/rVWGbrH6EKC5kzaA3t7DXGimfmK.jpg
4,12,Where The Wild Things Are,2008-04-24,Time has passed but not much has changed. Sexual angst still runs rampant in the halls of Seattle Grace. Derek and Rose have been dating and Meredith has noticed the activities of her current off-again ex-boyfriend. The doctor's are in the midst of a competition.,43,"Clea DuVall, Amy Madigan, Lauren Stamile, Jason O'Mara, Cheech Marin, Steven Flynn","Zoanne Clack (Writer), Rob Corn (Director)",,/1RMeqFwOX84tFxG0r17KGWZsR31.jpg
4,13,Piece of My Heart,2008-05-01,Addison visits Seattle Grace because they need skills that only she has. Rebecca/Ava returns with news for Alex. Meredith and Derek's clinical trial experiences one or two developments.,43,"Kate Walsh, Clea DuVall, Elizabeth Reaser, Amy Madigan, Lauren Stamile, Richard Keith, Jason O'Mara","Mark Tinker (Director), Stacy McKee (Writer)",,/zt8q5D9MDo69kZlsuQyNl8OpbX7.jpg
4,14,The Becoming,2008-05-08,The clinical trial continues to make progress. The anti-McSteamy club creates new initiatives but that isn't enough to stop one woman from spending time with him. Christina is affected by Burke's career developments.,43,"Loretta Devine, Amy Madigan, Lauren Stamile, John M. Jackson, Zilah Mendoza, David Giuntoli","Julie Anne Robinson (Director), Joan Rater (Writer)",,/89O1JoDRttqS5vzZ9HXB72epZSV.jpg
4,15,Losing My Mind,2008-05-15,Dr. Wyatt refuses to let Meredith give up on therapy. Alex learns something else about Rebecca. The Chief wants Erica to perform a daring surgery. Christina continues to act strangely.,43,"Cress Williams, Amy Madigan, Lauren Stamile, April Grace, Jeffrey D. Sams, Paul Dooley, Regina Taylor, Elizabeth Reaser, Bruce Purcell","Debora Cahn (Writer), James Frawley (Director)",,/9UvtDDpYrdmduOX723gFoEWzD5f.jpg
4,16,Freedom (1),2008-05-22,A couple undergoes surgery. Derek and Meredith's clinical trial gets a second shot from a new patient. Izzie helps Alex. McSteamy hooks up with someone.,43,"Jurnee Smollett, Amy Madigan, Lauren Stamile, Sterling Knight, Elizabeth Reaser, John Cothran","Shonda Rhimes (Writer), Rob Corn (Director)",,/sp8hogGLSU1Y2TZ9sqet8vtYQG7.jpg
4,17,Freedom (2),2008-05-22,A couple undergoes surgery. Derek and Meredith's clinical trial gets a second shot from a new patient. Izzie helps Alex. McSteamy hooks up with someone.,43,"Jurnee Smollett, Loretta Devine, Amy Madigan, Lauren Stamile, Sterling Knight, Elizabeth Reaser, John Cothran","Shonda Rhimes (Writer), Rob Corn (Director)",,/uE40W9e8DgnnDzhGWs8kIgbqY3o.jpg
5,1,Dream a Little Dream of Me (1),2008-09-25,"As Meredith and Derek begin to find that their ""happily ever after"" is anything but easy, Cristina develops a crush on a military doctor who brings in a trauma patient. Meanwhile, the Chief and his staff cope with the news that Seattle Grace is no longer considered a top-tier teaching hospital.",43,"Cliff DeYoung, Lauren Stamile, Mariette Hartley, John Getz, Bernadette Peters, Kathy Baker","Shonda Rhimes (Writer), Rob Corn (Director)",,/7AYnJoMv1aCeylHwoLRMZZxxWor.jpg
5,2,Dream a Little Dream of Me (2),2008-09-25,"Alex is offended when Izzie talks about how great a man Alex is to Meredith. Derek is stabbed with the scalpel in the palm of his hand by Rose, while the Chief is stunned over Mercy West's increase in the number of patients, a deadly ice storm ravages Seattle.",43,"Cliff DeYoung, Lauren Stamile, Mariette Hartley, John Getz, Bernadette Peters, Kathy Baker","Shonda Rhimes (Writer), Rob Corn (Director)",,/4lBYpOQGzGYkyyAFU8v0aVrgHoJ.jpg
5,3,Here Comes the Flood,2008-10-09,"When the plumbing springs a leak, chaos breaks out at Seattle Grace as the Chief tries to put in place new teaching methods. Meanwhile, George takes his residency exam; and Derek attempts to get Meredith's roommates to move out, much to their surprise.",43,"Amy Madigan, Suzy Nakamura, Daniel J. Travanti","Michael Pressman (Director), Krista Vernoff (Writer)",,/rMQll3i2bRGNuOtOywEC3PxYcye.jpg
5,4,Brave New World,2008-10-16,"Meredith is sent into a state of panic when Derek finds her mother's diary in the house. Meanwhile, Callie stresses while preparing for her first date with Erica. Later, Cristina stumbles across a part of the hospital no one has ever seen before.",43,"Steven W. Bailey, Amy Aquino, Bre Blair, Max Burkholder","Debora Cahn (Writer), Eric Stoltz (Director)",,/ubKdk2p2GbVpQbA1tEnYSAVceVB.jpg
5,5,There's No 'I' in Team,2008-10-23,"Bailey heads up a ""domino procedure"" in which each surgery hinges on the one preceding it. Meanwhile, Derek gets sole credit for the brain-tumor study he did with Meredith; Lexie tries to get George to notice her romantically; and Sloan counsels a desperate Callie in the ways of love.",43,"Steven W. Bailey, Carl Lumbly, George Newbern, Saige Thompson, Colleen Flynn, Leslie Odom Jr.","Jenna Bans (Writer), Randall Zisk (Director)",,/lNYoncZBFN63GikMmTWAgQyn4NJ.jpg
5,6,Life During Wartime,2008-10-30,"The chief gives Bailey new power and responsibility. He also gives her a very difficult surgical assignment: remove a girl's inoperable tumor. Meanwhile, new trauma chief Owen (Kevin McKidd) challenges the attendings' methods and the residents' skills.",43,"Scott Haven, Adair Tishler","Mark Wilding (Writer), James Frawley (Director)",,/4WCxNVzAY59JCOFzJWv4rzloE1T.jpg
5,7,Rise Up,2008-11-06,"When the Chief makes an announcement that a solo surgery is up as an award, the residents are sent into a frenzy all trying to get an edge over one another. Meanwhile, Derek asks Bailey for advice after Cristina continues to interfere in his relationship with Meredith. Elsewhere, Erica uncovers a shocking connection between a resident and a patient.",43,"Dan Howard, Bruce Purcell","Joanna Kerns (Director), William Harper (Writer)",,/epGIFdtWB4fQY9TNbzZMr1I8tOg.jpg
5,8,These Ties That Bind,2008-11-13,"One of Meredith's oldest friends, Sadie, becomes an intern at Seattle Grace, but Mer's friends are less-than-welcoming to her.",43,"August Schellenberg, Jeffrey Dean Morgan, Ed Lauter, Melissa George, Mary McDonnell","Eric Stoltz (Director), Stacy McKee (Writer)",,/uLfQ9qes4GcxIsKOh4WrBNgMO8b.jpg
5,9,In the Midnight Hour,2008-11-20,"Meredith, Cristina and Bailey come to Lexie and Sadie's rescue when a routine surgery goes horribly wrong, as Owen and Derek treat a man seriously injured while sleepwalking and Mark comforts the sleepwalker's distraught daughter.",43,"Jeffrey Dean Morgan, Leslie Grossman, Madeline Carroll, Joshua Malina, John Allen Nelson, Melissa George","Joan Rater (Writer), Tom Verica (Director)",,/w8YUZEb5FNDOubqnrhYyJEkdFSv.jpg
5,10,All by Myself,2008-12-04,"Cristina is awarded the first solo surgery among the residents, but she is forced to give it up and choose her replacement; Lexie is impressed when Mark performs a cutting-edge procedure; Callie doesn't know if Sadie is friendly or flirtatious.",43,"Jeffrey Dean Morgan, Christa B. Allen, Kay Panabaker, Rosalind Chao, Melissa George, Mary McDonnell","Arlene Sanford (Director), Peter Nowalk (Writer)",,/bnfW9PMUApmuGWqRz1EvdMylxu4.jpg
5,11,Wish You Were Here,2009-01-08,"Bailey teams with Seattle Grace's new pediatric surgeon, Dr. Arizona Robbins, to save the life of a young patient near and dear to her heart, as the admittance of a death row inmate at the hospital stirs anger in Derek and further erodes Meredith and Cristina's friendship; meanwhile, Callie and Sloan work as a team to fight their respective attractions to Sadie and Lexie, and Izzie tells Alex that she's seeing Denny.",43,"Jessica Capshaw, Steven W. Bailey, Jeffrey Dean Morgan, Melissa George, Perrey Reeves, Eric Stoltz, Samantha Mathis, Aaron Refvem","Debora Cahn (Writer), Rob Corn (Director)",,/neff1VtiAcwBn1zARa1K88GU7jm.jpg
5,12,Sympathy for the Devil,2009-01-15,"Derek's mother, Carolyn, makes a surprise visit to Seattle and meets Meredith for the first time, as Mark tries to conceal his relationship with Lexie from her as well; meanwhile, death row inmate William wishes to donate his organs to Bailey and Arizona's patient, as Owen and Cristina try to go on their first date.",43,"Jessica Capshaw, Jeffrey Dean Morgan, Melissa George, Eric Stoltz, Tyne Daly, Jason Kravits, Samantha Mathis, Ernie Grunwald, Aaron Refvem","Jenna Bans (Writer), Jeannot Szwarc (Director)",,/82NKfqbeMNKnNuXjhGErh7ivAd2.jpg
5,13,Stairway to Heaven,2009-01-22,"Bailey grows desperate as a patient's condition becomes more and more dire. Everyone in the hospital is stepping up to try to find the boy a new organ donor, including Meredith, who considers a death row patient's wish to die before execution. Meanwhile, an injury leaves Mark in a compromising position in the OR and Cristina awkwardly avoids Owen.",43,"Jessica Capshaw, Jeffrey Dean Morgan, Melissa George, Eric Stoltz, Samantha Mathis, Bruce Purcell","Mark Wilding (Writer), Allison Liddi-Brown (Director)",,/8FcAaplEFVaFgWXhyprW7D7BgC1.jpg
5,14,Beat Your Heart Out,2009-02-05,"Now that Derek has the engagement ring, he searches for the perfect way to propose to Meredith, as Lexie demands that Mark go public with their relationship, and Bailey, encouraged by her work on recent cases and by Dr. Dixon, considers a new direction for her medical career.",43,"Jessica Capshaw, Peter MacKenzie, Laura Allen, Melissa George, Mary McDonnell, Jennifer Westfeldt, Ben Shenkman","Julie Anne Robinson (Director), William Harper (Writer)",,/rqxIHyYKw6FtSjxfUf4qhPM7905.jpg
5,15,Before and After,2009-02-12,"Addison, Naomi and Sam rush the ailing Archer to Seattle Grace and reunite with old friends Derek and Mark to help save his life; meanwhile, Izzie employs her fellow doctors in a medical game designed to help teach the interns, and Owen runs into a significant someone from his past",43,"Kate Walsh, Steven W. Bailey, Grant Show, Laura Allen, Audra McDonald, Sam Anderson, Taye Diggs, Melissa George, Jennifer Westfeldt, Ben Shenkman","Joan Rater (Writer), Daniel Attias (Director), Tony Phelan (Writer)",,/5iGG46Vvoqp4biZ6wgh9CZ14kq9.jpg
5,16,An Honest Mistake,2009-02-19,"Derek's confidence is shaken like never before as he faces off with Addison over what course is best for their dying pregnant patient; Cristina calls the abilities of a renown surgeon into question after she botches a standard procedure; and Bailey, who has decided to pursue a fellowship in Pediatrics, is appalled by the Chief's less-than-stellar recommendation letter.",43,"Jessica Capshaw, Gloria Garayua, Mark Saul, Faye Dunaway, Louis Giambalvo, Jennifer Westfeldt, Ben Shenkman","Randall Zisk (Director), Peter Nowalk (Writer)",,/fpiiCNb3CO2TpIv1UQ7yNFBkITn.jpg
5,17,I Will Follow You Into the Dark,2009-03-12,"Derek decides to quit after learning that more of his patients have died than survived; Izzie's interns make an unsettling discovery about ""Patient X.""",43,"Jessica Capshaw, Loretta Devine, Wendy Hoopes, Erin Cahill, Michael Rady","Jenna Bans (Writer), Rob Corn (Director)",,/7V8UzYNLEzgYc0Mh3DDRfyjpQVI.jpg
5,18,Stand By Me,2009-03-19,"After his fellow surgeons try and fail to bring Derek back to work, Meredith must summon the strength to convince him. Meanwhile the hospital is abuzz as Mark attempts a rare face transplant surgery. Cristina, at last awarded her first solo surgery, is more focused on the needs of her friends, and Izzie does her best to keep her medical condition a secret.",43,"Greta Sesheta, Candice Afia, Larry Sullivan, Emily Kuroda","Jessica Yu (Director), Zoanne Clack (Writer)",,/gEY0ZFmu9bYzPvQU9baxnDlXNYw.jpg
5,19,Elevator Love Letter,2009-03-26,"All eyes are on Derek as he is set to perform his first surgery after his breakdown; attention is also set on Izzie, whose medical condition requires her to undergo a difficult surgery; and Owen has another PTSD episode that injures Cristina and traumatizes both of them, throwing the future of their relationship into question.",43,"Jessica Capshaw, Molly Hagan, Kimberly Elise, Todd Waring","Edward Ornelas (Director), Stacy McKee (Writer)",,/jMzfmT3lBVCM7YirhslYzhQZBHI.jpg
5,20,Sweet Surrender,2009-04-23,"As she endures aggressive treatment for her cancer, Izzie throws herself into planning Derek and Meredith's wedding.",43,"Jessica Capshaw, Mac Brandt, Hector Elizondo, Amy Madigan, Kimberly Elise, Obba Babatundé, José Zúñiga, Elden Henson",,,/jsqPbMQOCbxleMYdSYrJxo2UNu3.jpg
5,21,No Good at Saying Sorry (One More Chance),2009-04-30,"As preparations continue for Meredith and Derek's wedding, Izzie receives a surprise hospital visit from her handful-of-a-mother, Robbie. Meanwhile, a newly sober Thatcher visits his daughters, Meredith and Lexie, in order to make amends, and the Chief and Meredith bitterly fight over a controversial medical case.",43,"Jessica Capshaw, Jeff Perry, Kellie Martin, Megan Henning, Nina Siemaszko, Sharon Lawrence","Krista Vernoff (Writer), Tom Verica (Director)",,/9dd1yZpet5Ro4NUAx71Ub90g3C0.jpg
5,22,What a Difference a Day Makes,2009-05-07,"As Meredith, Derek and all of their friends prepare for the big wedding, a group of college students, injured in a car crash as they were heading to their graduation ceremony, is admitted to the ER. Meanwhile, Izzie fears the worst when she begins experiencing familiar symptoms.",43,"Jessica Capshaw, Mac Brandt","Shonda Rhimes (Writer), Rob Corn (Director)",,/6kS8O7M32oda5YfheDMtX6em59o.jpg
5,23,Here's to Future Days,2009-05-14,"In the first part of the two hour season finale, Izzie spends time with a fellow cancer patient and contemplates whether or not to undergo a risky surgery, as Mark is ready to take his relationship with Lexie to the next level and a patient makes Owen reassess his place at Seattle Grace.",43,"Jessica Capshaw, Zach Gilford, Kimberly Elise, Liza Weil, Debra Mooney","Debora Cahn (Writer), Allan Heinberg (Writer), Bill D'Elia (Director), Rob Corn (Director)",,/7r4ctE4MwRTdxnhdmXkbXDD3b7H.jpg
5,24,Now or Never,2009-05-14,"In the second part of the two hour season finale, George delivers stunning news to Bailey, sending shockwaves throughout the hospital, and Izzie's friends anxiously await her recovery from surgery. Meanwhile Bailey is surprisingly displeased after being accepted into the pediatric fellowship program, and the victim of a near-fatal traffic accident brings the talents of Seattle Grace's doctors together. This is the second hour of a 2-hour season finale.",43,"Jessica Capshaw, Shannon Lucio","Debora Cahn (Writer), Allan Heinberg (Writer), Bill D'Elia (Director), Rob Corn (Director)",,/jG7Srek7Czxt9QaVkGFqZiTT9AH.jpg
6,1,Good Mourning,2009-09-24,"The hospital staff is left to deal with the aftermath of George's passing. Hitting the staff hard, they all find unique ways to get through the various stages of grief. George's mom returns, faced with the difficult task of deciding what to do with his organs.",43,"Gloria Garayua, Mitch Pileggi, Mark Saul, Ray Ford, Shannon Lucio, Zack Shada, Martha Plimpton, Jim Metzler, Debra Monk","Krista Vernoff (Writer), Edward Ornelas (Director)",,/y9CbNB75uoIZzfSfY5j29LugUBX.jpg
6,2,Goodbye,2009-09-24,"Everyone is struggling after losing one of their own and are turning to any distraction they can find. Meredith and Derek seem to be consummating their marriage anywhere and everywhere, while Cristina and Owen have been instructed to abstain from sex by Dr. Wyatt.",43,"T.J. Lowther, Amy Madigan, Martha Plimpton","Bill D'Elia (Director), Krista Vernoff (Writer)",,/rtBmUB9VAPaVm0QBJH87YH3YCJD.jpg
6,3,I Always Feel Like Somebody's Watchin' Me,2009-10-01,"Several weeks after her near-death experience, a recovering Izzie returns to work. Meanwhile, nervous that there will be layoffs in the hospital in the wake of an announcement from the Chief, the Seattle Grace residents compete to survive the cuts, including Cristina, who attempts to work alongside Arizona in pediatrics. And Bailey and Alex's patient's already complex case is further complicated by her schizophrenic son.",43,"Gloria Garayua, Mark Saul, Sarah Utterback, James Frain, Adrienne Barbeau","Michael Pressman (Director), Joan Rater (Writer)",,/ljfy2UZ6YoRYr2JqE22IMSTkEbw.jpg
6,4,Tainted Obligation,2009-10-08,"When Meredith and Lexie's father, Thatcher, returns to the hospital with a failed liver, it's up to Meredith to save his life. Meanwhile, Izzie empathizes with a patient riddled with tumors, as Mark, annoyed with Cristina's competitive zeal, tricks her into assisting on an unusual surgery.",43,"Jeff Perry, Tom Amandes, Isabella Hofmann, Phil Abrams","Jenna Bans (Writer), Tom Verica (Director)",,/gY1lCsrkajMniQHhStCxrnOLgzA.jpg
6,5,Invasion,2009-10-15,"The residents of Seattle Grace and Mercy West vie for surgeries and their careers as day one of the hospital merger begins. Meanwhile, Arizona stands by an enraged Callie when her father, Mr. Torres, employs a priest to help convince her to date men, and Izzie experiences the brunt of her new surgical competition.",43,"Jesse Williams, Sarah Drew, Hector Elizondo, Gloria Garayua, Nora Zehetner, Bruce French, Kathleen Wilhoite, Mark Saul, Alexie Gilmore, Ray Ford","Mark Wilding (Writer), Tony Phelan (Director)",,/tT9bb6HnEBcr6uzgyXwxItU1Vk3.jpg
6,6,I Saw What I Saw,2009-10-22,"After a burn victim unexpectedly dies in the midst of a chaotic ER, the Chief and board member Jennings interrogate the residents to find the culprit, as all the Mercy West and Seattle Grace resident defends their actions in an effort to save their jobs.",43,"Jesse Williams, Sarah Drew, Maurice J. Irvin, Nora Zehetner, Mitch Pileggi, Ron Roggé, Bill Fagerbakke, Erinn Hayes","William Harper (Writer), Allison Liddi-Brown (Director)",,/7Ij4ONTW8UYwjfD4sDNFl1m4ZaB.jpg
6,7,Give Peace a Chance,2009-10-29,"When Isaac has an inoperable tumor wrapped around his spine, he wants Derek to do the impossible. Derek tests the Chief's authority when Richard objects to moving forward with the risky surgery.",43,"Jesse Williams, Nora Zehetner, Mark Saul","Chandra Wilson (Director), Peter Nowalk (Writer)",,/9r6SJ9vDrUcjSf879c0eBEpNrHj.jpg
6,8,Invest In Love,2009-11-05,"A generous 25 million donation is offered to Seattle Grace by the parents of Arizonas 10-year-old patient, she finds herself in a conflict of interest when his condition worsens. Cristina tests her boundaries with Owen at the hospital. Alex is left with all of Izzies hospital bills to contend with.",43,"Jesse Williams, Alanna Masterson, Nora Zehetner, Mitch Pileggi, Khamani Griffin, Erica Gimpel, Derek Webster, Angelo Tiffe","Jessica Yu (Director), Stacy McKee (Writer)",,/13kqVceOJKSVLUBfNjo1DSjKcOZ.jpg
6,9,New History,2009-11-12,"Owen recruits Dr. Teddy Altman, a former Iraqi veteran, as the new cardiothoracic surgeon.  Cristina questions her abilities in the E.R. and relationship with Owen.  Izzie returns to Seattle Grace with her high school mentor seeking treatment for his dementia.  Richard's responsibilities, post-merger, are taking a toll on him.",43,"Jesse Williams, Loretta Devine, Steven W. Bailey, Nora Zehetner, James DuMont, Joel Grey, Mason Cook","Allan Heinberg (Writer), Rob Corn (Director)",,/3yofbDfNoQsfGRaYnDlIrIxRKO6.jpg
6,10,Holidaze,2009-11-19,"As Thanksgiving, Christmas and New Year's pass, Miranda gets a visit from her father, William who disapproves of her choices in life. Mark and Lexie cope with an arrival of a woman from his past. Thatcher questions the Chief's recent behavior as Meredith comes to his defense.",43,"Jesse Williams, Jeff Perry, Danielle Panabaker, Steven W. Bailey, Leven Rambin, Frankie Faison, Nathan West, Hillary Tuck","Robert Berlinger (Director), Krista Vernoff (Writer)",,/gEjG5bHITgJPnBChmqm7jpu4nXI.jpg
6,11,Blink,2010-01-14,"Mark flies Addison to Seattle to help with a difficult procedure on his pregnant daughter, Sloan, Owen questions Teddy's motives when she assigns Cristina the lead on a complicated surgery, and Derek's suspicions are raised when the Chief recruits Meredith to assist with a high profile operation on.",43,"Leven Rambin, Nora Zehetner, Cynthia Stevenson, Sinqua Walls","Debora Cahn (Writer), Randall Zisk (Director)",,/4AUpPnx2BK0jEHxLJO79JvE4kPt.jpg
6,12,I Like You So Much Better When You're Naked,2010-01-21,"After learning of Richard's drinking problem, Derek confronts him for the sake of his friend and the hospital, Izzie returns, hoping to reconcile with Alex, and tensions run high between Teddy, Cristina and Owen in the aftermath of Cristina's startling confession.",43,"Jesse Williams, Paul Vogt, Dan Bucatinsky, Mitch Pileggi","Donna Deitch (Director), Joan Rater (Writer)",,/ghGvwDsPml1eLaQGZtulzCqRzt6.jpg
6,13,State of Love and Trust,2010-02-04,"As Derek begins his role as interim chief, he faces a potential lawsuit when Bailey and Meredith's patient awakens from anesthesia mid-surgery. Meanwhile, Teddy refuses to place Cristina on her service, as Arizona tests Alex out in Pediatrics, and Mark refuses to speak to a heartbroken Lexie.",43,"Jesse Williams, Sarah Drew, Jason George, Cody Christian, Nora Zehetner, Spencer Garrett, Chastity Dotson","Jeannot Szwarc (Director), Stacy McKee (Writer)",,/w4PZWGNLYoUwfnwOcAZdBiZg1s4.jpg
6,14,Valentine's Day Massacre,2010-02-11,"It's Valentine's Day, and the doctors must treat dozens of injured people after the roof collapses at a popular romantic restaurant; Derek tries to manage his busy schedule as Chief of Surgery; Meredith wrestles with her new duties as the Chief's wife; and Mark and Callie team up to convince Sloan to do the right thing for her baby.",43,"Jesse Williams, Sarah Drew, Jason George, Leven Rambin, Pamela Reed","Stephen Cragg (Director), William Harper (Writer)",,/6uIgqtd9U4rmNFU2OUyRCKEFPPF.jpg
6,15,The Time Warp,2010-02-18,"In his new role as Chief, Derek restores the hospital lecture series, and Richard, Bailey and Callie present to the group pivotal surgical cases from their pasts Bailey reflects on her first days as a shy resident, Callie looks back on a polio case, and Richard recalls a case in which he and Ellis worked on a patient diagnosed with GRID, a virus later called AIDS.",43,Sarah Paulson,"Zoanne Clack (Writer), Rob Corn (Director)",,/82OnIAx3ngTLtqbJCTfMJZLjxFl.jpg
6,16,Perfect Little Accident,2010-03-04,"When famous surgeon Dr. Harper Avery is rushed to Seattle Grace-Mercy West, the staff is surprised to discover that one of their own is related to this legend, and his unorthodox request for his surgery causes tensions t between Derek and Richard. Meanwhile Callie and Arizona try to help Teddy and Sloan move on from their pasts and find greener pastures.",43,,"Bill D'Elia (Director), Peter Nowalk (Writer)",,/rrRRL9aZxfGL3zFV7IeqxRRhVX5.jpg
6,17,Push,2010-03-11,"A patient who needs an extremely difficult surgery comes to Seattle Grace, and it's Richard and Owen who vie for the opportunity to tackle it. But the decision lies in the hands of Derek, who deems that Owen should take on the surgery, leaving Richard bitter. Meanwhile, Bailey deals with her own personal struggles when she nervously prepares for another date with Ben.",43,,"Debora Cahn (Writer), Chandra Wilson (Director)",,/hTlyh4CCrzCKU4BQyH8rMMG2qiT.jpg
6,18,Suicide is Painless,2010-03-25,"When Teddy's patient seeks to end treatment and her life, she turns to Hunt for help. The situation triggers Hunt's memories of his life at war and his past relationship with Teddy. Meanwhile, Callie and Arizona have a difference in opinion on what their future holds, and Richard tries to adjust to his role as a surgeon.",43,"Jesse Williams, Sarah Drew, Richard T. Jones, Sara Gilbert, Derek Cecil, Lance Barber","Jeannot Szwarc (Director), Joan Rater (Writer)",,/kW0goh3zxoIhgncLOSCXFXwO2Vo.jpg
6,19,Sympathy for the Parents,2010-04-01,"When Alex's younger brother, Aaron, shows up at Seattle Grace-Mercy West with a hernia, it's up to Alex to get Bailey's approval for his pro bono surgery. Matters are further complicated when Aaron discloses that his family has not heard from Alex since he arrived in Seattle, and parts of Alex's past long kept secret are revealed to his friends and fellow doctors.",43,"Jesse Williams, Sarah Drew","Allan Heinberg (Writer), Debbie Allen (Director)",,/1Dsl1SCAEYppo2emCVszZxeW5hc.jpg
6,20,"Hook, Line and Sinner",2010-04-29,"Sloan returns to Mark's apartment, just as she's going into labor, and Teddy, Mark and the still-fighting Callie and Arizona are there to help with the birth and to get Mark through his grandson's pending adoption. Meanwhile Teddy sees Derek's invitation to illustrious cardiothoracic surgeon Tom Evans' as a threat to her future employment at the hospital, and the team work on a crab boat captain who has been stabbed with a giant shark hook.",43,"Sarah Drew, Nicholas Purcell","Meg Marinis (Writer), Tony Phelan (Director)",,/gTO1YsUz84cQl9JztTCF0A9bB5v.jpg
6,21,How Insensitive,2010-05-06,"Bailey preps the team with mandatory sensitivity training prior to admitting a 700-pound patient with compounded medical issues, and the case proves to be challenging in every sense of the word. Meanwhile Derek has to come face to face with a former patient's husband in a wrongful death deposition, and spending time with a heart patient's daughter opens up some old wounds for Cristina.",43,Sarah Drew,"Shonda Rhimes (Writer), Tom Verica (Director), Peter Nowalk (Writer)",,/aSwnFkH77mgZ4yAFeXOdFYOe701.jpg
6,22,Shiny Happy People,2010-05-13,"An elderly patient admitted into the E.R. for a heart condition sees a familiar face, a long lost love who happens to be in the E.R. as well for a fractured arm, and the staff find themselves caught up in their love story. Meanwhile, Karev treats a troubled teenage patient (guest star Demi Lovato) whose parents brought her in for schizophrenia, and Meredith can't help but tell Cristina about her suspicions of Owen -- which inevitably messes with Cristina's head.",43,"Sarah Drew, Demi Lovato, Amy Farrington","Zoanne Clack (Writer), Edward Ornelas (Director)",,/wcuIDyPtN9ftZRNDpustSX3Ihyu.jpg
6,23,Sanctuary,2010-05-20,Seattle Grace Hospital is hit with a crisis like no other in its' history.,43,"Sarah Drew, Ryan Devlin","Stephen Cragg (Director), Shonda Rhimes (Writer)",,/qudW1NWTBac8DgdhpMXfV1jLenl.jpg
6,24,Death and All His Friends,2010-05-20,Cristina and Meredith's surgical skills are put to the ultimate test.,43,"Sarah Drew, Ryan Devlin, Mandy Moore, Michael O'Neill","Shonda Rhimes (Writer), Rob Corn (Director)",,/m0aWn0Jctmx75KJKTeRmv6PbWOo.jpg
7,1,With You I'm Born Again,2010-09-23,"In the wake of the shooting at Seattle Grace-Mercy West, the doctors find themselves in a frenzy: Christina and Owen will be getting married, and others are trying to deal with the recent blood bath. Derek is arrested for speeding!",43,"James Tupper, Paul Zies","Krista Vernoff (Writer), Rob Corn (Director)",,/6U0OBVeUcWoOmQDvRntinAqDzm8.jpg
7,2,Shock to the System,2010-09-30,"Meredith finally tells Derek about her pregnancy and miscarriage; during a surgery, Cristina experiences PTSD; Bailey won't let Alex operate until he has the bullet in his chest removed.",43,James Tupper,"Tom Verica (Director), William Harper (Writer)",,/eaAeo0sOemkJLQKIQSdVNTcW2cn.jpg
7,3,Superfreak,2010-10-07,"Issues surface when Derek's estranged sister, Amelia (Caterina Scorsone), visits unexpectedly; Meredith and Derek continue to try to ease Cristina back into surgery.",43,James Tupper,"Mark Wilding (Writer), Michael Pressman (Director)",,/1PjAm2VpWc9uAfD6yRJtcZcRPPZ.jpg
